Brand,Model,Segment,Body,Year,Engine,Power,Torque,Intake,Cubic_Capacity,Cylinders,Fuel
Mercedes-Benz,CLS 250 CDI / BLUE,CLS-Class,C218,2011 - 2017,OM651 DE22,201,500,twin turbo,2.1,4,Diesel
Mercedes-Benz,CLS 350 CDI,CLS-Class,C218,2011 - 2014,OM642 DE30,261,620,turbo charger,3.0,6,Diesel
Mercedes-Benz,CLS 350 BlueTEC,CLS-Class,C218,2014 - 2017,OM642 DE30,255,620,turbo charger,3.0,6,Diesel
BMW,320i,3-Series,F30,2012 - 2015,N20B20,181,270,turbo charger,2.0,4,Petrol
BMW,320i,3-Series,F30,2015 - 2019,B48B20,181,270,turbo charger,2.0,4,Petrol
BMW,320i ED,3-Series,F30,2012 - 2015,N13B16,168,250,turbo charger,1.6,4,Petrol
BMW,328i,3-Series,F30,2012 - 2015,N20B20,241,350,turbo charger,2.0,4,Petrol
BMW,330i,3-Series,F30,2015 - 2019,B48B20,248,350,turbo charger,2.0,4,Petrol
BMW,335i,3-Series,F30,2012 - 2015,N55B30M0,302,400,turbo charger,3.0,6,Petrol
BMW,340i,3-Series,F30,2015 - 2019,B58B30M0,322,450,turbo charger,3.0,6,Petrol
BMW,316d,3-Series,F30,2012 - 2015,N47D20,114,260,turbo charger,2.0,4,Diesel
BMW,316d,3-Series,F30,2015 - 2019,B47D20,114,270,turbo charger,2.0,4,Diesel
BMW,318d,3-Series,F30,2012 - 2015,N47D20,141,320,turbo charger,2.0,4,Diesel
BMW,318d,3-Series,F30,2015 - 2019,B47D20,148,320,turbo charger,2.0,4,Diesel
BMW,320d,3-Series,F30,2012 - 2015,N47D20,181,380,turbo charger,2.0,4,Diesel
BMW,320d,3-Series,F30,2015 - 2019,B47D20,188,400,turbo charger,2.0,4,Diesel
BMW,325d,3-Series,F30,2013 - 2015,N47D20,215,450,turbo charger,2.0,4,Diesel
BMW,325d,3-Series,F30,2015 - 2019,B47D20,221,450,turbo charger,2.0,4,Diesel
BMW,330d,3-Series,F30,2012 - 2019,N57D30O1,255,560,turbo charger,3.0,6,Diesel
BMW,335d,3-Series,F30,2013 - 2019,N57D30T1,308,630,turbo charger,3.0,6,Diesel
BMW,520i,5-Series,F10,2011 - 2016,N20B20,181,270,turbo charger,2.0,4,Petrol
BMW,528i,5-Series,F10,2012 - 2016,N20B20,241,350,turbo charger,2.0,4,Petrol
BMW,528i,5-Series,F10,2010 - 2011,N52B30,240,300,stock,3.0,6,Petrol
BMW,535i,5-Series,F10,2009 - 2017,N55B30,302,400,turbo charger,3.0,6,Petrol
BMW,518d,5-Series,F10,2013 - 2014,N47D20,141,360,turbo charger,2.0,4,Diesel
BMW,518d,5-Series,F10,2014 - 2016,B47D20,148,361,turbo charger,2.0,4,Diesel
BMW,520d,5-Series,F10,2010 - 2014,N47D20,181,380,turbo charger,2.0,4,Diesel
BMW,520d,5-Series,F10,2014 - 2017,B47D20,188,400,turbo charger,2.0,4,Diesel
BMW,525d,5-Series,F10,2010 - 2011,N57D30,201,450,turbo charger,3.0,6,Diesel
BMW,525d,5-Series,F10,2011 - 2016,N47D20,215,450,turbo charger,2.0,4,Diesel
BMW,530d,5-Series,F10,2009 - 2011,N57D30O0,241,540,turbo charger,3.0,6,Diesel
BMW,530d,5-Series,F10,2011 - 2017,N57D30O1,255,560,turbo charger,3.0,6,Diesel
BMW,535d,5-Series,F10,2010 - 2011,N57D30T0,295,600,twin turbo,3.0,6,Diesel
BMW,535d,5-Series,F10,2011 - 2017,N57D30T1,308,630,twin turbo,3.0,6,Diesel
BMW,730i,7-Series,F01,2009 - 2015,N52,255,310,stock,3.0,6,Petrol
BMW,740i,7-Series,F01,2008 - 2012,N54,322,450,twin turbo,3.0,6,Petrol
BMW,740i,7-Series,F01,2012 - 2015,N55,315,450,turbo charger,3.0,6,Petrol
BMW,750i,7-Series,F01,2008 - 2012,N63,402,600,twin turbo,4.4,8,Petrol
BMW,750i,7-Series,F01,2012 - 2015,N63,444,650,twin turbo,4.4,8,Petrol
BMW,730d,7-Series,F01,2008 - 2012,N57,241,540,turbo charger,3.0,6,Diesel
BMW,730d,7-Series,F01,2012 - 2015,N57,255,560,turbo charger,3.0,6,Diesel
BMW,740d,7-Series,F01,2009 - 2012,N57,302,600,turbo charger,3.0,6,Diesel
BMW,740d,7-Series,F01,2012 - 2015,N57,308,630,turbo charger,3.0,6,Diesel
BMW,750d,7-Series,F01,2012 - 2015,N57,375,740,turbo charger,3.0,6,Diesel
Audi,A6,6,C7 - Typ 4G,2011 - 2015,2.0 TFSI,178,320,turbo charger,2.0,4,Petrol
Audi,A6,6,C7 - Typ 4G,2011 - 2015,2.0 TFSI,208,350,turbo charger,2.0,4,Petrol
Audi,A6,6,C7 - Typ 4G,2011 - 2015,2.0 TDI,175,380,turbo charger,2.0,4,Diesel
Audi,A6,6,C7 - Typ 4G,2014 - 2015,2.0 TDI Ultra,187,400,turbo charger,2.0,4,Diesel
Audi,A6,6,C7 - Typ 4G,2011 - 2012,3.0 TFSI,296,440,supercharger,3.0,6,Petrol
Audi,A6,6,C7 - Typ 4G,2012 - 2015,3.0 TFSI,306,440,supercharger,3.0,6,Petrol
Audi,A6,6,C7 - Typ 4G,2011 - 2015,3.0 TDI,201,400,turbo charger,3.0,6,Diesel
Audi,A6,6,C7 - Typ 4G,2011 - 2015,3.0 TDI,201,450,turbo charger,3.0,6,Diesel
Audi,A6,6,C7 - Typ 4G,2011 - 2015,3.0 TDI,242,500,turbo charger,3.0,6,Diesel
Audi,A6,6,C7 - Typ 4G,2011 - 2015,3.0 TDI,242,580,turbo charger,3.0,6,Diesel
Audi,A6,6,Typ 4G Facelift,2015 - 2018,2.0 TFSI,178,320,turbo charger,2.0,4,Petrol
Audi,A6,6,Typ 4G Facelift,2015 - 2018,2.0 TFSI,208,350,turbo charger,2.0,4,Petrol
Audi,A6,6,Typ 4G Facelift,2015 - 2018,2.0 TDI,175,380,turbo charger,2.0,4,Diesel
Audi,A6,6,Typ 4G Facelift,2015 - 2018,2.0 TDI Ultra,187,400,turbo charger,2.0,4,Diesel
Audi,A6,6,Typ 4G Facelift,2015 - 2018,3.0 TFSI,296,440,supercharger,3.0,6,Petrol
Audi,A6,6,Typ 4G Facelift,2015 - 2018,3.0 TFSI,306,440,supercharger,3.0,6,Petrol
Audi,A6,6,Typ 4G Facelift,2015 - 2018,3.0 TDI,201,400,turbo charger,3.0,6,Diesel
Audi,A7,7,C7 - Typ 4G8,2014 - 2015,2.0 TFSI,249,370,turbo charger,2.0,4,Petrol
Audi,A7,7,C7 - Typ 4G8,2010 - 2015,2.8 FSI,201,280,stock,2.8,6,Petrol
Audi,A7,7,C7 - Typ 4G8,2010 - 2015,3.0 TFSI,296,440,supercharger,3.0,6,Petrol
Audi,A7,7,Typ 4G8 Facelift,2015 - 2018,2.0 TFSI,249,370,turbo charger,2.0,4,Petrol
Audi,A7,7,Typ 4G8 Facelift,2015 - 2018,2.8 FSI,201,280,stock,2.8,6,Petrol
Audi,A7,7,Typ 4G8 Facelift,2015 - 2018,3.0 TFSI,296,440,supercharger,3.0,6,Petrol
Audi,A7,7,C7 - Typ 4G8,2010 - 2015,3.0 TDI,201,450,turbo charger,3.0,6,Diesel
Audi,A7,7,Typ 4G8 Facelift,2015 - 2017,3.0 TDI,201,450,turbo charger,3.0,6,Diesel
Audi,A7,7,Typ 4G8 Facelift,2015 - 2017,3.0 TDI,309,650,turbo charger,3.0,6,Diesel
Land Rover,Range Rover Sport TDV6,Range Rover,L320,2005 - 2009,TDV6,187,440,turbo charger,2.7,6,Diesel
Land Rover,Range Rover Sport TDV6,Range Rover,L320,2009 - 2013,TDV6,208,520,turbo charger,3.0,6,Diesel
Land Rover,Range Rover Sport TDV6,Range Rover,L320,2009 - 2013,TDV6,242,600,turbo charger,3.0,6,Diesel
Land Rover,Range Rover Sport TDV8,Range Rover,L320,2006 - 2013,TDV8,268,640,twin turbo,3.6,8,Diesel
Land Rover,Range Rover Sport SDV6,Range Rover,L320,2011 - 2013,SDV6,254,600,twin turbo,3.0,6,Diesel
Land Rover,Range Rover Sport V8,Range Rover,L320,2005 - 2009,V8 CommandShift,296,425,stock,4.4,8,Petrol
Land Rover,Range Rover Sport V8,Range Rover,L320,2005 - 2009,V8 CommandShift,385,550,supercharger,4.2,8,Petrol
Land Rover,Range Rover Sport V8,Range Rover,L320,2009 - 2013,V8 CommandShift,370,510,stock,5.0,8,Petrol
Land Rover,Range Rover Sport V8,Range Rover,L320,2009 - 2013,V8 CommandShift,503,625,supercharger,5.0,8,Petrol
